cat,修格里城,淘金乐园,铁盟哨站,荒原站,曼德矿场,澄明数据中心,7号自由港,阿妮塔战备工厂,阿妮塔能源研究所
琴酒,465,513,428,513,459,513,528,465,465
青金石,1910,0.0,2496,2235,1991,2583,2655,1820,2120
轻奢女装,509,520,510,556,494,510,541,452,588
人工晶花,1598,2209,2123,1731,1731,1757,0.0,1991,1684
日化用品,161,192,161,153,202,167,166,193,164
沙金,2502,0.0,3296,2943,2862,3326,2867,3115,3258
砂石,36,30,32,31,0.0,34,43,39,35
石材,208,200,196,178,0.0,205,216,207,243
石墨,448,377,455,0.0,396,461,385,482,512
石墨烯,2046,3146,2828,2194,2249,2338,0.0,2465,2027
石墨烯电池,4848,4731,4646,5347,4238,4946,4233,3622,0.0
石英砂,287,0.0,300,282,251,347,322,254,337
手工编织地毯,1371,1115,1088,1469,1496,1496,1287,1319,1564
水产甄选礼盒,6470,6270,5919,6604,6029,7549,6391,6262,5739
水晶工艺品,896,696,856,776,856,784,808,784,712
松茸,1736,1817,1835,1947,2039,1603,2042,1947,1761
塑胶炸药,827,820,0.0,920,716,876,932,839,1017
随身听,1328,1192,1113,983,1164,1404,1354,1278,983
钛合金,2853,2700,2413,2550,2869,2426,3216,0.0,2883
钛矿石,1523,1768,1580,1523,0.0,1849,2102,1940,2291
太阳电池阵,6338,7253,6772,6658,5744,6218,6871,5814,5052
碳纤维,1554,1586,1564,1497,1530,1483,1378,0.0,1525
铁轨用特种钢材,1259,1154,934,1213,0.0,1257,1514,1312,1465
铁矿石,347,0.0,372,375,0.0,297,447,341,500
土豆,67,63,67,0.0,56,75,84,75,84
图形加速卡,2899,3650,3907,3152,0.0,3564,4452,3081,4495
沃德烤鸡,0.0,470,341,339,417,377,498,465,700
沃德山泉,0.0,69,57,61,64,62,62,75,94
无刷电机,931,1072,971,979,886,811,845,752,774
西大陆甄选礼盒,6026,7798,6380,7443,8152,7089,8081,6097,8507
香水,1364,1251,1373,1057,1191,1045,1130,1312,1373
行李箱包,625,398,622,632,489,616,629,500,444
形态共振瞄准器,1074,1060,1187,1103,1148,1026,1103,0.0,1059
修格里严选礼包,1435,1860,1682,1893,1780,1968,2154,1958,1808
学会书籍,1037,661,1071,965,649,1066,859,676,676
扬声器,1058,1246,902,1045,1063,0.0,972,1008,1027
液氧甲烷燃料,931,1033,1024,907,1199,878,772,981,919
银矿石,2120,3080,2730,3107,2616,0.0,2589,2518,3048
荧光棒,480,468,498,508,522,0.0,465,428,416
游戏机,2876,3663,3835,3064,4232,0.0,2984,3590,3436
游戏卡带,769,951,834,832,751,0.0,765,782,775
鱿鱼,266,192,308,300,190,283,250,236,201
羽绒服,908,980,1039,921,833,1009,1029,980,1000
鱼子酱,4608,3776,3582,3893,3114,4488,4049,3737,3815
折扇,754,785,785,755,695,763,695,793,785
珍珠,4428,3731,4978,4821,3996,5264,5152,4554,4794
子弹,636,500,0.0,502,955,1020,440,637,887
